Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17",0402,3,1u,C52923
"C10, C9",0603,2,20p,C1648
"C11, C12, C14, C15, C18, C2, C21, C7",0402,8,0u1,C307331
"C13, C6, C8",0805,3,10u,C440198
"C19, C20, C22, C23, C5",0805,5,22u,C45783
C4,0402,1,1n,C1523
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
"D2, D3, D4, D5, D7",Diode_DFN1006,5,H5VU10U,C22395519
D6,0805,1,GREEN,C2297
D8,0805,1,YELLOW,C2296
FB1,0805,1,600Ω@100M,C81034
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
"J3, J4, J6, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Conn_01x02,
"JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
R1,1206,1,120,C17909
R2,0402,1,820,C25135
"R3, R5, R8",0402,3,5k1,C25905
"R4, R6",0402,2,10k,C25744
R7,0603,1,560,C23204
"SW1, SW2, SW3",SW_SPST_TS-1088-xR020,3,SW_Push,C720477
"TP1, TP2",TestPoint_Keystone_5015_Micro_Mini,2,TestPoint,C2906768
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U2,Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,1,TPS259472A,C3662789
U3,SOT-89-3,1,HT753-1,C14289
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
"U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,2,DRV8837,C39159
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
