Designator,Mid X,Mid Y,Rotation,Layer
C1,5.25,7.98,90.0,top
C10,2.75,23.75,0.0,top
C11,15.75,23.0,180.0,top
C12,18.5,32.885,0.0,top
C13,15.75,16.5,0.0,top
C14,9.75,33.75,90.0,top
C15,7.5,31.25,270.0,top
C16,7.5,27.75,90.0,top
C17,8.75,23.75,90.0,top
C18,25.5,7.75,0.0,top
C19,25.25,5.75,270.0,top
C2,25.5,32.5,90.0,top
C20,24.25,5.75,270.0,top
C21,16.0,8.485,0.0,top
C22,14.5,5.75,270.0,top
C23,15.5,5.75,270.0,top
C4,8.45,11.75,180.0,top
C5,11.0,8.75,270.0,top
C6,21.5,38.75,270.0,top
C7,1.77,17.25,180.0,top
C8,12.75,14.5,90.0,top
C9,2.75,32.0,0.0,top
D1,26.6,19.3,90.0,top
D2,7.98,38.369,180.0,top
D3,12.48,38.369,0.0,top
D4,10.23,38.369,0.0,top
D5,5.5,41.635,270.0,top
D6,7.75,4.5,180.0,top
D7,14.0,41.385,270.0,top
D8,17.0,39.0,0.0,top
FB1,7.25,24.5,270.0,top
FID1,7.0,1.0,0.0,top
FID2,34.0,38.0,0.0,top
FID3,33.0,5.0,0.0,top
H1,0.0,0.0,0.0,top
H2,0.0,40.0,0.0,top
H3,40.0,40.0,0.0,top
H4,40.0,0.0,0.0,top
H5,29.0,42.0,0.0,top
H6,34.0,-1.0,0.0,top
H7,7.0,-2.0,0.0,top
J1,-0.05,10.35,90.0,top
J2,9.73,41.135,180.0,top
J3,39.35,22.86,0.0,top
J4,39.35,30.48,0.0,top
J5,26.0,26.25,270.0,top
J6,26.65,0.0,180.0,top
J7,16.49,0.0,180.0,top
JP1,32.5,18.255,0.0,top
JP2,18.25,28.9,90.0,bottom
JP3,15.75,28.9,90.0,bottom
JP4,13.25,28.9,90.0,bottom
R1,39.25,17.0,180.0,top
R2,6.25,11.75,0.0,top
R3,7.75,6.0,180.0,top
R4,10.0,8.75,90.0,top
R5,10.5,7.25,180.0,top
R6,4.74,37.25,0.0,top
R7,6.0,28.25,90.0,top
R8,17.0,37.5,0.0,top
SW1,6.0,34.75,0.0,top
SW2,36.0,9.5,90.0,top
SW3,1.75,19.5,0.0,top
TP1,7.75,14.5,0.0,top
TP2,11.7,11.35,180.0,top
TP3,25.25,39.75,90.0,top
TP4,8.5,19.0,270.0,top
U1,30.0,32.5,270.0,top
U2,7.75,9.0,90.0,top
U3,16.5,12.25,90.0,top
U4,13.5,29.0,270.0,top
U5,27.75,6.25,90.0,top
U6,17.5,6.25,90.0,top
Y1,2.75,28.0,90.0,top
